61 	 19
   5.500 	   0.047 	   0.145 	   0.251 	   0.329 	   0.355 	   0.359 	   0.350 	   0.329 	   0.295 	   0.248 	   0.185 	   0.103 	   0.003 	  -0.115 	  -0.254 	  -0.413 	  -0.593 	  -0.796 	  -1.023 	
   6.000 	   0.050 	   0.148 	   0.251 	   0.321 	   0.341 	   0.340 	   0.326 	   0.298 	   0.256 	   0.198 	   0.121 	   0.024 	  -0.092 	  -0.228 	  -0.387 	  -0.568 	  -0.773 	  -1.006 	  -1.268 	
   6.500 	   0.052 	   0.151 	   0.250 	   0.312 	   0.326 	   0.320 	   0.299 	   0.264 	   0.213 	   0.141 	   0.049 	  -0.062 	  -0.194 	  -0.350 	  -0.531 	  -0.739 	  -0.976 	  -1.244 	  -1.541 	
   7.000 	   0.054 	   0.153 	   0.249 	   0.302 	   0.310 	   0.299 	   0.272 	   0.228 	   0.165 	   0.079 	  -0.026 	  -0.153 	  -0.304 	  -0.484 	  -0.691 	  -0.930 	  -1.201 	  -1.504 	  -1.843 	
   7.500 	   0.056 	   0.155 	   0.246 	   0.292 	   0.294 	   0.277 	   0.242 	   0.189 	   0.112 	   0.014 	  -0.105 	  -0.249 	  -0.424 	  -0.629 	  -0.868 	  -1.140 	  -1.444 	  -1.785 	  -2.168 	
   8.000 	   0.058 	   0.156 	   0.244 	   0.281 	   0.277 	   0.254 	   0.211 	   0.146 	   0.057 	  -0.053 	  -0.188 	  -0.355 	  -0.556 	  -0.790 	  -1.059 	  -1.360 	  -1.700 	  -2.083 	  -2.508 	
   8.500 	   0.060 	   0.157 	   0.241 	   0.270 	   0.260 	   0.230 	   0.179 	   0.101 	   0.001 	  -0.122 	  -0.279 	  -0.472 	  -0.698 	  -0.959 	  -1.255 	  -1.589 	  -1.968 	  -2.391 	  -2.861 	
   9.000 	   0.062 	   0.158 	   0.237 	   0.258 	   0.242 	   0.205 	   0.143 	   0.054 	  -0.056 	  -0.199 	  -0.379 	  -0.595 	  -0.845 	  -1.132 	  -1.457 	  -1.827 	  -2.244 	  -2.711 	  -3.236 	
   9.500 	   0.064 	   0.158 	   0.232 	   0.245 	   0.224 	   0.179 	   0.105 	   0.008 	  -0.118 	  -0.282 	  -0.484 	  -0.720 	  -0.995 	  -1.308 	  -1.666 	  -2.074 	  -2.536 	  -3.060 	  -3.647 	
  10.000 	   0.066 	   0.157 	   0.226 	   0.233 	   0.205 	   0.151 	   0.068 	  -0.040 	  -0.186 	  -0.370 	  -0.591 	  -0.848 	  -1.147 	  -1.490 	  -1.885 	  -2.340 	  -2.856 	  -3.434 	  -4.078 	
  10.500 	   0.068 	   0.157 	   0.219 	   0.219 	   0.185 	   0.122 	   0.030 	  -0.093 	  -0.257 	  -0.459 	  -0.697 	  -0.978 	  -1.304 	  -1.683 	  -2.124 	  -2.624 	  -3.188 	  -3.818 	  -4.522 	
  11.000 	   0.070 	   0.156 	   0.212 	   0.206 	   0.165 	   0.092 	  -0.008 	  -0.149 	  -0.329 	  -0.548 	  -0.807 	  -1.113 	  -1.472 	  -1.892 	  -2.371 	  -2.916 	  -3.531 	  -4.219 	  -4.988 	
  11.500 	   0.071 	   0.155 	   0.204 	   0.192 	   0.144 	   0.062 	  -0.051 	  -0.208 	  -0.401 	  -0.638 	  -0.920 	  -1.255 	  -1.650 	  -2.105 	  -2.628 	  -3.221 	  -3.892 	  -4.644 	  -5.486 	
  12.000 	   0.073 	   0.154 	   0.196 	   0.178 	   0.121 	   0.033 	  -0.096 	  -0.265 	  -0.475 	  -0.731 	  -1.038 	  -1.405 	  -1.833 	  -2.327 	  -2.896 	  -3.543 	  -4.274 	  -5.097 	  -6.010 	
  12.500 	   0.074 	   0.153 	   0.188 	   0.163 	   0.098 	   0.001 	  -0.142 	  -0.323 	  -0.551 	  -0.828 	  -1.162 	  -1.559 	  -2.024 	  -2.562 	  -3.179 	  -3.883 	  -4.676 	  -5.553 	  -6.528 	
  13.000 	   0.076 	   0.152 	   0.180 	   0.148 	   0.076 	  -0.033 	  -0.187 	  -0.382 	  -0.628 	  -0.928 	  -1.289 	  -1.722 	  -2.224 	  -2.808 	  -3.478 	  -4.231 	  -5.076 	  -6.020 	  -7.069 	
  13.500 	   0.077 	   0.150 	   0.171 	   0.133 	   0.054 	  -0.069 	  -0.232 	  -0.443 	  -0.708 	  -1.030 	  -1.425 	  -1.891 	  -2.435 	  -3.065 	  -3.777 	  -4.583 	  -5.489 	  -6.503 	  -7.622 	
  14.000 	   0.079 	   0.149 	   0.162 	   0.117 	   0.030 	  -0.103 	  -0.279 	  -0.506 	  -0.790 	  -1.141 	  -1.568 	  -2.068 	  -2.653 	  -3.320 	  -4.082 	  -4.945 	  -5.905 	  -6.967 	  -8.133 	
  14.500 	   0.080 	   0.146 	   0.153 	   0.100 	   0.005 	  -0.137 	  -0.326 	  -0.570 	  -0.874 	  -1.258 	  -1.715 	  -2.250 	  -2.870 	  -3.582 	  -4.389 	  -5.283 	  -6.280 	  -7.389 	  -8.615 	
  15.000 	   0.081 	   0.143 	   0.144 	   0.084 	  -0.021 	  -0.172 	  -0.374 	  -0.635 	  -0.968 	  -1.379 	  -1.865 	  -2.432 	  -3.091 	  -3.829 	  -4.660 	  -5.596 	  -6.642 	  -7.790 	  -9.058 	
  15.500 	   0.082 	   0.140 	   0.134 	   0.068 	  -0.047 	  -0.208 	  -0.423 	  -0.704 	  -1.065 	  -1.503 	  -2.015 	  -2.615 	  -3.287 	  -4.054 	  -4.924 	  -5.893 	  -6.966 	  -8.158 	  -9.476 	
  16.000 	   0.083 	   0.137 	   0.124 	   0.051 	  -0.072 	  -0.244 	  -0.474 	  -0.779 	  -1.164 	  -1.625 	  -2.164 	  -2.772 	  -3.473 	  -4.271 	  -5.162 	  -6.163 	  -7.282 	  -8.545 	  -9.973 	
  16.500 	   0.084 	   0.133 	   0.114 	   0.034 	  -0.098 	  -0.280 	  -0.528 	  -0.856 	  -1.264 	  -1.746 	  -2.290 	  -2.924 	  -3.648 	  -4.467 	  -5.394 	  -6.451 	  -7.668 	  -9.036 	 -10.558 	
  17.000 	   0.084 	   0.130 	   0.103 	   0.015 	  -0.123 	  -0.317 	  -0.586 	  -0.934 	  -1.362 	  -1.847 	  -2.414 	  -3.066 	  -3.813 	  -4.666 	  -5.669 	  -6.821 	  -8.117 	  -9.565 	 -11.154 	
  17.500 	   0.085 	   0.126 	   0.093 	  -0.003 	  -0.150 	  -0.356 	  -0.645 	  -1.014 	  -1.448 	  -1.947 	  -2.531 	  -3.204 	  -3.987 	  -4.922 	  -5.997 	  -7.214 	  -8.566 	 -10.071 	 -11.741 	
  18.000 	   0.085 	   0.122 	   0.082 	  -0.021 	  -0.176 	  -0.398 	  -0.705 	  -1.090 	  -1.526 	  -2.042 	  -2.644 	  -3.354 	  -4.210 	  -5.204 	  -6.330 	  -7.592 	  -9.012 	 -10.605 	 -12.375 	
  18.500 	   0.085 	   0.117 	   0.071 	  -0.038 	  -0.202 	  -0.441 	  -0.766 	  -1.153 	  -1.604 	  -2.135 	  -2.767 	  -3.539 	  -4.448 	  -5.481 	  -6.658 	  -7.995 	  -9.504 	 -11.190 	 -13.066 	
  19.000 	   0.085 	   0.112 	   0.060 	  -0.056 	  -0.230 	  -0.486 	  -0.824 	  -1.214 	  -1.678 	  -2.232 	  -2.916 	  -3.736 	  -4.681 	  -5.770 	  -7.017 	  -8.434 	 -10.028 	 -11.820 	 -13.827 	
  19.500 	   0.084 	   0.107 	   0.048 	  -0.075 	  -0.260 	  -0.532 	  -0.874 	  -1.275 	  -1.753 	  -2.349 	  -3.077 	  -3.933 	  -4.929 	  -6.080 	  -7.400 	  -8.911 	 -10.621 	 -12.543 	 -14.686 	
  20.000 	   0.084 	   0.102 	   0.036 	  -0.093 	  -0.290 	  -0.576 	  -0.922 	  -1.333 	  -1.840 	  -2.475 	  -3.241 	  -4.140 	  -5.191 	  -6.419 	  -7.835 	  -9.449 	 -11.273 	 -13.320 	 -15.620 	
  20.500 	   0.083 	   0.096 	   0.024 	  -0.111 	  -0.322 	  -0.618 	  -0.968 	  -1.395 	  -1.935 	  -2.608 	  -3.409 	  -4.361 	  -5.488 	  -6.798 	  -8.303 	 -10.018 	 -11.954 	 -14.130 	 -16.559 	
  21.000 	   0.083 	   0.091 	   0.012 	  -0.130 	  -0.354 	  -0.656 	  -1.014 	  -1.464 	  -2.040 	  -2.744 	  -3.592 	  -4.609 	  -5.806 	  -7.194 	  -8.786 	 -10.597 	 -12.636 	 -14.916 	 -17.460 	
  21.500 	   0.082 	   0.085 	   0.001 	  -0.150 	  -0.385 	  -0.692 	  -1.062 	  -1.540 	  -2.147 	  -2.888 	  -3.792 	  -4.870 	  -6.131 	  -7.591 	  -9.266 	 -11.155 	 -13.277 	 -15.651 	 -18.302 	
  22.000 	   0.081 	   0.079 	  -0.011 	  -0.170 	  -0.416 	  -0.726 	  -1.114 	  -1.621 	  -2.258 	  -3.045 	  -3.999 	  -5.129 	  -6.452 	  -7.975 	  -9.706 	 -11.669 	 -13.876 	 -16.343 	 -19.082 	
  22.500 	   0.080 	   0.072 	  -0.023 	  -0.191 	  -0.446 	  -0.762 	  -1.171 	  -1.703 	  -2.377 	  -3.206 	  -4.202 	  -5.381 	  -6.749 	  -8.323 	 -10.121 	 -12.143 	 -14.415 	 -16.955 	 -19.785 	
  23.000 	   0.079 	   0.066 	  -0.035 	  -0.212 	  -0.474 	  -0.799 	  -1.230 	  -1.793 	  -2.499 	  -3.361 	  -4.396 	  -5.611 	  -7.026 	  -8.641 	 -10.477 	 -12.560 	 -14.911 	 -17.557 	 -20.496 	
  23.500 	   0.078 	   0.060 	  -0.047 	  -0.233 	  -0.500 	  -0.838 	  -1.293 	  -1.884 	  -2.616 	  -3.508 	  -4.572 	  -5.822 	  -7.259 	  -8.914 	 -10.821 	 -12.991 	 -15.442 	 -18.188 	 -21.252 	
  24.000 	   0.077 	   0.053 	  -0.059 	  -0.254 	  -0.528 	  -0.880 	  -1.359 	  -1.970 	  -2.726 	  -3.642 	  -4.730 	  -5.996 	  -7.480 	  -9.206 	 -11.189 	 -13.448 	 -15.998 	 -18.863 	 -22.057 	
  24.500 	   0.076 	   0.047 	  -0.071 	  -0.275 	  -0.554 	  -0.923 	  -1.425 	  -2.053 	  -2.826 	  -3.758 	  -4.861 	  -6.176 	  -7.722 	  -9.518 	 -11.584 	 -13.937 	 -16.593 	 -19.570 	 -22.889 	
  25.000 	   0.074 	   0.040 	  -0.084 	  -0.295 	  -0.581 	  -0.971 	  -1.484 	  -2.126 	  -2.912 	  -3.858 	  -5.005 	  -6.373 	  -7.983 	  -9.854 	 -12.000 	 -14.442 	 -17.199 	 -20.289 	 -23.732 	
