66 	 35
  -2.250 	   0.015 	   0.022 	   0.031 	   0.044 	   0.061 	   0.079 	   0.099 	   0.120 	   0.141 	   0.162 	   0.216 	   0.248 	   0.281 	   0.318 	   0.356 	   0.395 	   0.430 	   0.454 	   0.465 	   0.473 	   0.479 	   0.485 	   0.483 	   0.458 	   0.415 	   0.360 	   0.297 	   0.226 	   0.151 	   0.077 	   0.009 	  -0.057 	  -0.122 	  -0.191 	  -0.264 	
  -2.000 	   0.016 	   0.023 	   0.033 	   0.047 	   0.063 	   0.082 	   0.102 	   0.123 	   0.144 	   0.166 	   0.220 	   0.252 	   0.286 	   0.323 	   0.362 	   0.399 	   0.434 	   0.454 	   0.465 	   0.473 	   0.479 	   0.487 	   0.487 	   0.464 	   0.424 	   0.371 	   0.311 	   0.243 	   0.170 	   0.095 	   0.025 	  -0.043 	  -0.111 	  -0.181 	  -0.256 	
  -1.750 	   0.017 	   0.024 	   0.035 	   0.049 	   0.066 	   0.085 	   0.105 	   0.126 	   0.147 	   0.169 	   0.224 	   0.257 	   0.292 	   0.329 	   0.367 	   0.403 	   0.437 	   0.454 	   0.465 	   0.473 	   0.479 	   0.490 	   0.490 	   0.469 	   0.431 	   0.382 	   0.325 	   0.260 	   0.188 	   0.113 	   0.041 	  -0.029 	  -0.099 	  -0.171 	  -0.247 	
  -1.500 	   0.018 	   0.026 	   0.036 	   0.051 	   0.068 	   0.087 	   0.108 	   0.129 	   0.150 	   0.173 	   0.228 	   0.261 	   0.297 	   0.334 	   0.371 	   0.406 	   0.438 	   0.454 	   0.464 	   0.473 	   0.479 	   0.492 	   0.492 	   0.473 	   0.439 	   0.392 	   0.338 	   0.275 	   0.206 	   0.132 	   0.058 	  -0.014 	  -0.086 	  -0.160 	  -0.238 	
  -1.250 	   0.019 	   0.027 	   0.038 	   0.053 	   0.071 	   0.090 	   0.110 	   0.131 	   0.153 	   0.176 	   0.232 	   0.265 	   0.301 	   0.339 	   0.374 	   0.409 	   0.438 	   0.453 	   0.464 	   0.473 	   0.479 	   0.493 	   0.493 	   0.477 	   0.445 	   0.402 	   0.350 	   0.290 	   0.224 	   0.151 	   0.076 	   0.001 	  -0.073 	  -0.149 	  -0.230 	
  -1.000 	   0.019 	   0.028 	   0.040 	   0.055 	   0.073 	   0.093 	   0.113 	   0.134 	   0.156 	   0.180 	   0.236 	   0.270 	   0.306 	   0.342 	   0.377 	   0.412 	   0.438 	   0.451 	   0.463 	   0.473 	   0.479 	   0.494 	   0.494 	   0.480 	   0.451 	   0.411 	   0.362 	   0.305 	   0.241 	   0.170 	   0.094 	   0.017 	  -0.059 	  -0.138 	  -0.220 	
  -0.750 	   0.020 	   0.029 	   0.042 	   0.057 	   0.076 	   0.095 	   0.116 	   0.137 	   0.159 	   0.183 	   0.240 	   0.274 	   0.310 	   0.346 	   0.380 	   0.415 	   0.437 	   0.450 	   0.462 	   0.472 	   0.479 	   0.494 	   0.495 	   0.483 	   0.456 	   0.419 	   0.372 	   0.318 	   0.256 	   0.188 	   0.113 	   0.035 	  -0.045 	  -0.127 	  -0.211 	
  -0.500 	   0.021 	   0.031 	   0.043 	   0.059 	   0.078 	   0.098 	   0.118 	   0.139 	   0.162 	   0.186 	   0.243 	   0.278 	   0.314 	   0.348 	   0.383 	   0.416 	   0.436 	   0.449 	   0.461 	   0.471 	   0.479 	   0.494 	   0.495 	   0.485 	   0.461 	   0.426 	   0.382 	   0.330 	   0.271 	   0.205 	   0.132 	   0.053 	  -0.030 	  -0.114 	  -0.202 	
  -0.250 	   0.022 	   0.032 	   0.045 	   0.062 	   0.080 	   0.100 	   0.121 	   0.142 	   0.165 	   0.189 	   0.247 	   0.282 	   0.318 	   0.351 	   0.385 	   0.417 	   0.434 	   0.448 	   0.460 	   0.470 	   0.478 	   0.492 	   0.494 	   0.486 	   0.465 	   0.432 	   0.391 	   0.341 	   0.284 	   0.220 	   0.149 	   0.071 	  -0.013 	  -0.101 	  -0.191 	
   0.000 	   0.023 	   0.033 	   0.047 	   0.064 	   0.082 	   0.102 	   0.123 	   0.145 	   0.168 	   0.192 	   0.251 	   0.286 	   0.320 	   0.353 	   0.387 	   0.416 	   0.433 	   0.447 	   0.459 	   0.469 	   0.478 	   0.491 	   0.493 	   0.487 	   0.468 	   0.438 	   0.399 	   0.352 	   0.297 	   0.235 	   0.166 	   0.088 	   0.003 	  -0.087 	  -0.181 	
